id,comment,food,drink,price,staff,service,space,hygiene
13,lâu lắm mới đi đến quán nay ông anh rủ đi uống nước cùng nên kêu ổng qua quán này bước vào quán cực_kỳ bất_ngờ luôn tất_cả từ trên xuống dưới của quán đều thắp nến trông cực_kỳ lãng_mạn luôn á mình gọi ly trà sữa việt_quốc nhưng bạn phục_vụ nói hết rồi nên mình thay bằng phúc_bồn tử và ly đá xây đào theo mình cảm_nhận thì nước uống ngon nha hợp_khẩu_vị mình lắm trà sữa thơm lắm luôn đá xay cũng vậy mùi đào nên thích lắm luôn ấy,0,1,0,1,0,1,0
14,đi chơi với đứa bạn có dịp ghé qua quán này mình với nó nghỉ_ngơi tý mình và nó gọi ly cà_phê đá để uống theo mình cảm_nhận thì đồ uống của quán rất là ổn vị cà_phê đăng_đắng vừa phải hà nhưng mùi cà_phê thơm lắm kèm theo tý ngọt ngọt của đường cho vào vừa_phải nên cực_kỳ thích luôn đang buồn_ngủ uống vào cái tỉnh hẵn ra luôn đấy chứ quán cũng thoáng và rộng_rãi lắm luôn nha nhân_viên vui_vẻ và cực_kỳ thân_thiện luôn,0,1,0,1,0,1,0
15,quán mới làm lại tầng quá đẹp không_gian yên_tĩnh rộng_rãi rất phù_hợp hội họp buổi trưa mà ngồi học bài là hết_ý,0,0,0,0,0,1,0
16,lâu_lâu ghé sang nghe_đâu mới update thêm tầng lầu nhưng vẫn chưa có điều_hoà nên đành ngồi tầng trệt khi đến thì khách rất là đông và gần như kín bàn gọi món nước uống việt_quất nước uống đào và tiramisu choco đá xay tổng_hết bil gần giá_cả phục_vụ đồ uống nhanh tầm phút là có đồ uống rồi nhân_viên rất lịch_sự nhanh_nhẹn đồ uống dừng ở mức tạm jely trong ly nước uống khá nhạt_nhoà trong khi vị cũng không đặc_sắc lắm lớp kem ngọt kết_hợp với phần nước uống phía dưới chắc hợp_lý sẽ quay lại nhưng không dùng nước uống nữa xem thêm,0,1,1,1,1,1,0
17,hôm thứ ba mình chỉ_định đi xem phim trên rạp starlight mua vé xong đi loanh_quanh thấy quán trà này dô mua hai ly trà nhài và trà nhật bản kem mặn phải nói là ngon quá lớp kem nhiều trà thơm mình sẽ ủng_hộ nữa với lại mình được đem hai ly trà vào coi phim luôn rất hay mấy rạp khác toàn uống pepsi,0,1,0,0,0,0,0
18,đây là quán cafe mà mình thích nhất dn quán trang_trí rất đẹp rất thoáng lại sang_trọng nhân_viên phục_vụ cực_kì nhanh mặc_dù quán những ngày đầu rất đông có rất nhiều quán cafe kiểu này nhưng đây thực_sự là quán cafe làm mình ấn_tượng nhất hồ cá thuỷ_sinh thiệt to ngay giữa quán rất đẹp nhìn cái hồ cá là biết quán đẹp rồi ghế có nhìu cái bằng xích_đu lạ lạ dễ_thương quán để bàn sát nhau tạo cảm_giác ấm_cúng mặc_dù quán rất đông ồn_ào nếu là những quán khác thì mình rất gét sự ồn_ào của fong kin nhưng quán này thì mình lại thấy vui vui_nhộn_nhịp,0,0,0,1,0,1,0
19,quán cafe này lần đầu_tiên mình vào nhân_viên dễ_thương nhiệt_tình thân_thiện đồ uống ngon nhạc rất hay,0,1,0,1,1,0,0
20,view đẹp đồ uống phục_vụ kém đem sai đồ uống khách kêu còn ra cãi với khách mình dễ_tính lắm chị phục_vụ chỉ cần kêu thông_cảm này_nọ thì mình chẳng nói làm gì đằng này mình đọc cho chị đó ghi còn chỉ hẳn vào menu thế_mà ra cãi còn không đổi đúng đồ uống mình kêu mong quán tuyển người có chọn_lọc,0,1,0,1,0,1,0
21,nhân_viên không biết đọc menu mình kêu nước uống nước uống nhưng đem nước uống late mình báo nhầm nhưng các bạn ấy không đổi kêu uống đỡ đi vị thức uống khá tệ không ai pha nước uống late bằng cách bỏ vô bình lắc lên cả sẽ không quay lại,0,1,0,1,0,0,0
22,quán cafe nay mới mở nè đây là quán hiếm_hoi có không_gian sang_trọng một_tí và lịch_sử thật_sự tuy_nhiên vẫn chưa thật_sự phân_loại được đối_tượng khách_hàng ch lắm quán có không_gian hai tầng và có cả không_gian ngoài_trời nữa thực_đơn của thật_sự đa_dạng lắm nhân_viên phục_vụ chưa được chuyên_nghiệp lắm tuy_nhiên thức uống vẫn chấp_nhận được giá dao_động từ đến đây không phải là mức giá cao mình thật_sự thích không_gian của quán quán mở nhạc cũng hay nữa có một góc nhỏ để trung bày bán những cái chén nhỏ và những chậu cây nhỏ xinh nữa mấy bạn nhân_viên và cả anh qủan lý cũng rất dễ_thương à mà quán mở nhạc to hơn một_tí nữa thì chuẩn hơn thấy quán có bán bánh nữa nhưng chưa được ăn vài bữa nữa phải quay lại ăn thử mới được,1,0,1,1,1,1,0
23,lâu rồi mới ghé lại quán trà sữa vẫn ngon chị chủ quán vẫn dễ_thương nhiệt_tình như ngày nào sẽ tranh_thủ ghé quán thường_xuyên,0,1,0,1,0,0,0
24,mình thích những quán cafe có âm_nhạc nhẹ_nhàng và có_thể làm_việc được em mình dẫn mình tới đây mình thấy quán rất ổn không_gian khá đẹp có tầng và tầng là không có máy_lạnh nước uống ở đây thì chưa hợp_khẩu_vị của mình lắm nhân_viên thì hơi thưa hầu_như chỉ ở tầng,0,1,0,1,1,1,0
25,được con ẻm dẫn đến đây vào buổi chiều muộn quán cafe này mình đã từng vào rất nhiều lần thậm_chí là trước đây chỉ có hết chỗ khác mới vào haha vốn nghĩ chẳng có gì nhiều nhưng lần này mình khá bất_ngờ menu quán có khá nhiều món mới mới nhất phải kể đến là cafe kẹo với những chiếc kẹo nhiều màu_sắc với đồ bên dưới hợp lắm nha ngoài ra trà kem sữa ở đây cũng ngon mỗi_tội ít kem t_t mà mình thì thích nhiều chứ nói_chung với giá từ giá_cả thì đồ ở đây khá chất_lượng mình ưng,0,1,1,0,0,0,0
26,chỗ này bánh_mì giá sẽ hơn những chỗ khác một xíu nhưng mang được cảm_giác món ăn được làm kỹ và tạo sự chuyên_nghiệp tuy không có giấy và tăm nhưng với mình thì không đòi_hỏi những thứ đó túi bánh_mì khá rộng nhìn sạch_sẽ đẹp nữa bánh_mì thì có hơi bé hôm thì bự hơn xíu nhưng nhân bên trong không có gì thay_đổi giá_thành cũng rất sinh_viên một ổ chỉ từ giá_cả cho vị ốp la và giá_cả giá_cả giá_cả cho pate chà bông gà và thịt nguội chỗ để xe_hơi nhỏ,0,1,0,0,1,0,0
27,lâu_lâu qua quán này ăn hoài hà vì quán khá là gần nhà mình lại có đồ ăn ngon lắm nay mình đi với đứa cùng phòng gọi tô_bún thái và phần xiên que xúc_xích phần xiên que cá_viên phần xiên que bò_viên theo mình cảm_nhận thì bún thái ăn ngon lắm độ chua chua ít hà hải_sản tươi lắm luôn có nhiều chả nữa nên ăn thích lắm đồ chiên xiên que ăn cũng ổn lắm nha quán này cũng thoáng mát lắm nhân_viên vui_vẻ và thân_thiện lắm,0,0,1,0,1,0,
28,lại ghé chỗ quen định sáng sớm ghé đây ăn thiệt ngon uống cafe sữa rồi đi học mà xa quạ không kịp giờ không_gian ngồi nhìn thú_vị mà mình toàn mua về thôi thỉnh_thoảng cũng hay làm nhầm món nhưng vẫn thông_cảm cho làm món trong gian bếp hơi khuất so với mấy tủ bánh_mì khác nhưng mà làm kỹ_càng nen lâu xíu cũng không thành vấn_đề đội_ngũ nhân_viên giao_tiếp được với khách nước_ngoài tốt nên vẫn hay thấy du_khách ghé đây dùng bánh menu đa_dạng nhưng hình như_không có chả_lụa chả_quế,1,1,0,1,0,1,0
29,mạng mẽo ở đây cũng tuỳ bữa lắm nhe nhưng chung_quy chỉ lướt web thì cũng khá ổn hôm_nay mình gọi cafe sữa uống cũng im lắm vì cafe đậm nhân_viên phục_vụ mang trà đá ra trước sau đó mới mang thức uống phục_vụ chu_đáo nhưng không thấy châm trà lần giá vẫn discount không biết đến bao h mới hết nhưng không_gian phù_hợp_thức uống chất_lượng nên khá thích xe để ngoài trước trông_coi nhưng nắng quá cũng lo cho xe ghê tại không thấy vải hay gì để che cho xe của mình cũng xót mà toàn ghé quán từ h trưa đến h chiều,1,1,1,1,1,0,
30,hôm_nay được hôm rãnh rỗi nên mình rủ ông anh đi cà_phê mình và ổng gọi ly gren tea late và ly cô ba tea late theo mình cảm_nhận thì nước uống ngon lắm mùi trà xanh cực_kỳ thơm luôn rất đúng chuẩn lượng đường thì tuỳ mình thích ngọt hay nhiều mà đổ đường vào ấy chứ trang_trí cực đẹp trà sữa cũng thơm và ngon lắm nha vị beo_béo thích lắm quán rộng_rãi và thoáng lắm đi buổi trưa nên quán mình thấy hơi vắng khách nhân_viên phục_vụ thân_thiện và vui_vẻ lắm,0,1,0,1,0,1,0
31,quán nằm trong đường lê_bình nếu đi từ hướng vào thì chạy đến gần cuối đường nhìn tay_phải sẽ gặp được quán quán nhìn bên ngoài không rộng nhưng vào trong thì không_gian khá là ổn nhất_là nếu đi quán vào buổi trưa thì máy_lạnh mở max luôn quán có kiểu trang_trí mới_lạ đa_số được làm từ tre trúc nhưng cũng không gò_bó lắm không có muỗi nữa quán có menu nhiều món cũng khá mới mình gọi nước ép táo theo mình nước ép táo có vị không quá ngọt cũng không chua lắm mà vị của táo đúng là được ép từ táo ra chứ không phải là bằng mùi hương quán có wifi ổn phục_vụ ổn vui_vẻ có lần vào quán mình còn được bắt_gặp chú cún cưng lắm hình_như tên của nó là haru thì phải anh chủ cũng nhiệt_tình thân_thiện lắm,0,1,0,1,1,1,0
32,chị_em đi họp mà em nhắn_tin là deni liền ha bé thích deni yên_tĩnh lắm nha bàn ghế thấp thấp_v nếu có bé_nhỏ cũng yên_tâm không lo bé té hôm_nay lại trưa nên kêu đĩa cơm xào hải_sản nè cơm_chiên tơi mà_khổ tánh mình thích cơm mềm hơn nè đồ ăn thì hơi mặn xíu nè lipton sữa béo_béo giá cũng rất rẻ nhân_viên nhiệt_tình vui_vẻ chu_đáo nha để xe trong nhà nữa nên an_tâm hơn nè lần sao họp chị_em lại quán nữa quá,1,1,0,1,0,1,0
33,lâu rồi không ghé quán muốn tìm không_gian yên_ắng để ngồi lại nhớ và đến quán nè mình gọi dừa lạnh thêm tắc và dặn nguyên trái nha mà đem ra ly nước dừa tắc nè nhân_viên hơi nhầm xíu mà thôi dễ_thương nên cho_qua v không_gian trên lầu dễ cưng dữ lắm luôn nè thích ơi là thích luôn nhe nằm ngồi đều có chỗ hết á mà thích cái võng ngộ_ngộ kìa tròn quay à mà êm lắm êm luôn á tìm được khu đẹp rồi ghé tiếp lần sau nè,0,1,0,1,0,1,0
34,nước ở quán cũng ổn giá lại rẻ không_gian hơi nhỏ mà cách bày trí cũng được ở đường nvc quán như_vậy là rất ổn nên sẽ ghé lại,1,1,0,0,1,0,
35,đó giờ không biết chỗ này mới vừa được bạn chỉ hôm_qua nên sáng nay ghé mua ăn thử liền tiệm bánh_mì ở đây theo dạng mang đi nên nhỏ gọn cưng lắm ưng_ý ở chỗ nhìn không_gian khá là sạch_sẽ menu có nhiều món nước với bánh_mì bánh_mì ổ thường chỉ có giá_cả thôi còn với bánh_mì hay bánh_mì thì giá cũng không quá cao được cái bao_bì bánh_mì cũng thiết_kế đẹp nữa nhìn sang chảnh hơn mình nghe nói có ship luôn nhưng mua bánh_mì ăn nên mua tại_chỗ chứ ship lại sợ không ngon bánh_mì thường thì mình thấy pate hơi ngán chắc tại để nhiều quá hay sao đó bánh_mì cũng nóng nhưng không giòn nhân_viên phục_vụ được vui_vẻ nhiệt_tình,1,1,1,1,1,1,
36,haru cofe có khoảng không_gian sân vườn rất thoáng_đãng và mát_mẻ dù ngoài_trời rất nóng nhưng chỉ cần ngồi tại khoảng sân vườn và bật quạt thì cũng rất mát rồi ở không_gian sân vườn còn có một phòng kính điều_hoà bạn vừa có_thể ngồi ngắm sân vườn vừa có_thể tận_hưởng gió điều_hoà mát lạnh ngoài khu sân vườn quán còn có các bàn trong nhà nữa nhé các đồ uống của quán thì kiểu quen_thuộc như cafe trà sinh_tố nước ép kem ngoài đồ uống thì quán có phục_vụ thêm bánh_quy ốc quế hướng_dương,1,1,0,0,1,1,0
37,thích nhất_là nước uống và bánh của quán p ấn_tượng ở cả cách phục_vụ của haru nữa rất tận_tâm chuyên_nghiệp đây là quán cafe mình thích nhất ở nam định y,1,1,0,1,0,0,0
38,ngày hè nóng_nực đến haru cafe là quên hết sầu lo luôn đặc_biệt trong thời_tiết này chỉ muốn gọi ly kem tươi để giải_nhiệt hương_vị của kem rất tuyệt_vời cảm_giác không bị quá ngọt ăn kèm với ly trà sữa ahmad nữa thì quá đã luôn cho quán điểm luôn nhé nhất_định sẽ còn ủng_hộ haru dài_dài,1,1,0,0,0,0,0
39,tiếp_tục họp và team mình ghiền nơi này thì phải họp là lại đây à ủng_hộ a bạn với yên_tĩnh luôn nên cứ họp là zest à mình gọi hồng trà nè sủi bọt ly chà_bá nha uống thơm thơm ngọt vừa nha bàn ghế sạch_sẽ lắm mà mấy bạn nhân_viên nên để_ý tí nếu đang họp mà đem nước vào thì hỏi_nhỏ or nhớ mặt đem lên chứ cứ bị ngắt_quãng vì nhân_viên hỏi dù bên mình đang có ng phát_biểu nhưng team mình không ý_kiến chỉ là mình thấy nên khắc_phục v_à,0,1,0,1,0,1,1
40,trong một lần đi lên kontum chơi được giới_thiệu quán này đẹp lắm vô một lần là mê liền mình và team mình bèn ghé thử ấn_tượng đầu_tiên là ̉ về hai cô chú chủ quán hai cô chú rất dễ_thương nói_chuyện rất là hay à mà chú là người làm nghệ_thuật điêu_khắc nên quán mang hơi_hướng tư_tưởng và gu nghệ_thuật của chú nói về vị_trí thì ở một vị_trí khá dễ tìm cứ đi đến cuối đường phan_chu trinh là sẽ gặp không_gian quán bày trí rất đẹp mội góc sẽ có một nét rất riêng không bị trùng lập nào là những bức tượng trông vô_cùng sống_động mỗi tượng một màu một_vẻ nhưng theo mình thấy thì tượng ở đây đa_số mang màu_sắc tươi_vui trong vườn hoa của chú thì đủ màu đủ loại kết_hợp với những trụ đèn làm từ nhiều vật_liệu khá nhau còn có những bài thơ rất riêng giàu cảm_xúc về các món thì đa_dạng và đặc_biệt là giá rất mềm mình đi có chụp bằng camera hành_trình nên nhìu bức không được đẹp lắm hehe,0,0,1,1,0,1,0
41,tối t_quán rất đông vui rôm_rả tiếng cười nói rất thích không_khí của quán • mì ý sốt_kem rất vừa_miệng nhưng sốt kem hơi đặc quá mình thì thích sốt lỏng hơn một_chút ăn ngon hơn • salad rưới sốt chua chua_ngọt ngọt rất dễ ăn ai thích món salad thì cứ triển • piza rẻ mình cứ nghĩ nhỏ lắm ai_ngờ bưng ra size to_cơ chứ mà_nhân và cả đế không thua_kém gì piza giang nhé mình không_thể phân_biệt được luôn í nhất_định phải ord • trà đào giá cả ngọt_lịm hà các đồ uống khác trên bàn đều là ly to và ngon hết hai chị nhân_viên rất nhanh_nhẹn và lịch_sự nôm nôm đã cho mình một bữa tiệc không có gì để chê rất hài_lòng,1,1,1,1,0,1,0
42,mình ghé nôm nôm vào thời_điểm quán khá đông bên trong quán không còn chổ nên mình ngồi ở ngoài vì có nhiều cây nên muỗi đốt nhiều lắm luôn mình gọi trà đào dâu chè_hạt sen tươi hạt đát bánh_opera nước uống và bánh tiramisu bánh tiramisu khá ngon và lạ_miệng vừa ăn bánh_opera nước uống thì đậm chất trà xanh luôn chè_hạt sen hạt đát và trà đào thì bị ngọt mình phải xin thêm đá để dễ ăn hơn hạt đát hơi cứng đối_với người dễ_tính như mình vậy là ổn rồi mình khá thít ly nước_lọc ở đây nhìn rất vui_mắt,1,1,0,0,0,0,0
43,quán đưpj cực_kỳ thích nhất tầng thượng đồ uống cũng được đến đây thì m cuông chắc là ngàn cái ảnh,0,1,0,0,0,1,0
44,nước ổn giá_cả phải_chăng design khá đẹp_mặt_tiền đẹp luôn ổn đó mọi người,0,1,1,0,0,1,0
45,quán cofe đẹp nhiều góc chụp đẹp bày trí không_gian hơi ngộp và tối nhưng lối trang_trí làm ng đến thích mê ngay từ lần đầu_tiên đồ uống khá không quá ngon cũng không đến mức dở_nhạc thì thường mở nhạc nc ngoài nhạc cũ cũ của những thập_niên trước ak nhạc hay không xô_bồ_nhạc chợ trên mỗi bàn đều có nút cal để gọi nhân_viên nút này xài cảm_ứng nhé quán có tầng trệt là để xe tầng ngồi mát_mẻ máy_lạnh chạy tốt thường khách hay ngồi ở dưới hơn tầng không_gian nhìn thích hơn thoải_mái hơn vì có ít nhân_viên và ít khách lên chỉ có_điều là không có máy_lạnh hay máy_lạnh yếu hoặc hư nên nóng và hầm lắm ngồi ráng tí xem có mát hơn không nhưng hoàn_toàn vô_vọng giá_cả không mắc mình cảm_thấy giá cũng trung_bình và hợp_lý xem thêm,0,1,1,1,1,1,0
46,trên đường đi mình tình_cờ thấy quán này ấn_tượng vì quán có cửa_kính panorama view xuống trại mát siêu đẹp nhân_viên rất thân_thiện lễ_phép mà giá đồ uống thì rẻ nữa ngoài ra quán có cái máy đánh chữ cổ rất hay nhân_viên sẽ đưa giấy trắng cho bạn gõ thoải_mái lần sau có dịp lên đà lạt nhất_định quay lại quán,0,1,1,1,0,0,0
47,đã quay lại và cảm_thấy vẫn tuyệt_vời như lần đầu đồ uống siêu ngon anh_chị phục_vụ siêu dễ_thương view siêu đẹp,0,1,0,1,0,1,0
48,chị phục_vụ dễ_thương đặt_hàng nhanh đồ uống ngon price view ổn mới_đầu đi ngang qua thấy rất nhiều xe trước quán nhưng khi vô thì lại không có ai cả hoá ra quán có tầng đây là lý_do để ghé lại,0,1,1,1,0,1,0
49,cảm_ơn memory đã đồng_hành cùng_noi com tổ_chức gala nối thành_công anh_em nối sài_gòn sẽ sớm trở_lại đây phục_vụ chu_đáo nhiệt_tình đồ ăn ngon vệ_sinh sạch_sẽ,1,0,0,1,0,0,1
50,mình lên đà lạt chơi và tình_cơ search ra quán đến thì thích ngay từ cái nhìn đầu_tiên luôn bánh nước nói thật thì rất ngon và chất_lượng quán trang_trí nhìn ấm_cúng thoải_mái lắm nói chung thích cực_kì,1,0,0,0,0,1,0
51,quán nằm gần chợ đà_lạt tầng trên có khách_sạn giá cũng rẻ nữa so với vị_trí như_vậy thì quá ổn cho một chuyến đi nếu bạn muốn tiết_kiệm quán cafe nằm ở tầng dưới quán nhỏ nhưng menu đầy_đủ nước uống cafe ý soda luôn nha cafe ngon đậm mùi cafe lắm luôn giá cũng rẻ nữa,0,1,1,0,0,0,0
52,chỗ này không_gian kiểu rộng_rãi sáng_sủa mà lịch_sự lắm nhé nhân_viên phục_vụ cũng thân_thiện nhiệt_tình kiểu có_thể họp_mặt gia_đình tụ_tập bạn_bè hẹn_hò lãng_mạn đều ổn bữa mình đi là kiểu họp_mặt hội bạn cũ thôi thấy phục_vụ dễ_thương món ăn cũng ổn lắm nhé nêm nếm_đa_phần là vừa_miệng giá_cả không quá mắc phù_hợp hoàn_toàn với chất_lượng món ăn cũng như chất_lượng phục_vụ d,1,0,1,1,0,1,0
53,quán nằm giữa karaoke suka và karaoker hoàng quán không quá to được bày trí cũng rất lịch_sự vừa_phải nhưng không có gì đặc_sắc quán mới khai_trương từ tháng thôi nên nhân_viên ở đây cũng nhiệt_tình giới_thiệu các món đặc_trưng của quán nghe bảo ở đây có cả mỳ cay và lẫu ly chỉ từ giá_cả thôi mà_lại được mua trà đào trà sữa với giá chỉ giá_cả các món khác ở đây giá cũng khá bình_dân chỉ từ giá_cả trở đi thôi ban_ngày còn có cả chuối nướng nữa thức_ăn và thức uống không quá đặc_sắc nhưng bù lại giá rất bình_dân phù_hợp cho học_sinh sinh_viên,1,1,1,1,0,1,0
54,đồ uống ngon view đẹp bạn nào thích chụp hình sống ảo thì quán này cực_kì phù_hợp luôn,0,1,0,0,0,1,0
55,thứ vừa_rồi đi chung với mấy đứa bạn quán khá đông nhưng đặt_hàng ra món cũng nhanh nhân_viên lịch_sự lễ_phép nước uống uống khá ngon thơm và đậm vị cá_nhân mình chưa thử mấy món khác bạn mình gọi chocobana và soda việt quất vị cũng khá ngon giá mềm hơn những quán khác không_gian quán dễ_thương âm_nhạc dễ_chịu sẽ quay lại đây dài_dài d,0,1,1,1,1,1,0
56,thích cái món dâu tươi sữa_chua ở quán lần nào tới cũng uống đúng món đó lần này tới kêu nhân_viên món đó nhưng không hiểu sao cái ly lại toàn sữa đặc với dâu cắt lát không thấy miếng sữa_chua nào hết đã vậy nhân_viên còn không nhiệt_tình kiểu có khách cũng được không có cũng chẳng sao lần trước tới có_nhân_viên dắt xe cho khách lần này tới khách tự để xe nhân_viên ngồi đó chỉ chỏ phải dắt xe sát vô nhau thất_vọng,0,1,0,1,1,0,0
57,nhân_viên nhiệt_tình vui_vẻ không_gian yên tỉnh nhạc_nhẹ_nhàng là nơi thích_hợp để làm_việc giá_cả cũng ổn,0,0,1,1,1,1,0
58,mọi lần đi mình toàn ngồi ngoài chưa vào trong uống thử bao_giờ nhưng cảm_thấy ở ngoài ngồi rất thoáng mát và không_gian cũng ổn nhân_viên phục_vụ rất nhiệt_tình mình ghé vài lần và chỉ uống nước uống và cảm_thấy không ngon lắm chỉ ở mứt một điểm nửa là chỗ gửi xe xa quá,0,1,0,1,1,1,0
59,   ,0,0,0,0,0,0,0
60,review một_chút về bánh của highlands bánh ở highlands cũng có nhiều loại để lựa_chọn mình thì hầu_như đã thử qua hết và nhận thấy là nó không ngon nhưng mà hôm_nay ăn phải cái bánh không nuốt nổi vị rất khó ăn đó là kiểu cokie màu nâu có hạnh_nhân ở trên ban_đầu mình nghĩ là vị socola nhưng hoá_ra là vị quế hay nghệ_j đó mình đoán là trong cái đó rất khó ăn mình lấy loại cokie nhưng chỉ ăn cái còn cái kia bỏ các bạn không nên mua nhé,1,0,0,0,0,0,0
61,chuỗi cửa_hàng cà_phê mang đi xinh_xẻo vừa_mới khai_trương cơ_sở mới to hơn hoành_tráng hơn ở trần_phú_kìa đồ uống đa_dạng cực_kì mà không_gian rộng_rãi hơn cơ_sở cũ tận ba tầng lầu cho tụi mình ăn_chơi nhảy_múa đó,0,1,0,0,0,1,0
62,một không_gian mới cực hay_ho cho các tín_đồ mê retro đấy phong_cách thời bao_cấp cũ_kỹ khiến ta như trở_lại những năm_tháng xưa hồi đất_nước còn chưa giải_phóng quán yên bình mà mới_mẻ nhẹ_nhàng với tách phin đen trầm_lặng ngồi kể nhau nghe bao chuyện vui buồn tối tối đến lại còn có karaoke lên tự hát cho nhau nghe không_gian giản_dị mộc_mạc khiến ta thấy gần_gũi và yên bình ở quán có cái phản_dài nằm trên đó những hôm mát trời thì phê lòi giá_cả cũng cực_kỳ bình_dân cái ấn_tượng là sự mến khách của anh chủ quán và những gì tâm_huyết anh gửi lại trong quán cafe của mình núp trong con ngõ nhỏ,0,0,1,1,1,1,0
63,quán không quá rộng nhưng thoáng mát không_gian ấm_cúng trưng_bày dễ nhìn thức uống khá đa_dạng chất_lượng ổn hợp với gia_đình nhóm bạn_bè hơi tiếc một_tí là không có chỗ đậu ôtô sát quán phải đậu cách đó m không có người trông xe nhưng nhìn chung quán ổn mình sẽ quay lại khi có dịp ghé sóc trăng lần nữa,0,1,0,0,1,1,0
